Key,Czech (Czech Republic)(cs-CZ),English (United States)(en-US),Slovak (Slovakia)(sk-SK)
CPU_Q4_A0,"Přehřeje se a může se vypnout nebo poškodit","It overheats and may shut down or be damaged","Prehreje sa a môže sa vypnúť alebo poškodiť"
CPU_Q4_A1,"Automaticky se zvýší kapacita pevného disku počítače","The computer's hard drive capacity automatically increases","Automaticky sa zvýši kapacita pevného disku počítača"
CPU_Q4_A2,"Výrazně se zrychlí jeho taktovací frekvence bez omezení","Its clock frequency will increase significantly without limit","Výrazne sa zrýchli jeho taktovacia frekvencia bez obmedzenia"
COOL_Q0,"Proč je v počítači potřeba chlazení?","Why is cooling needed in a computer?","Prečo je v počítači potrebné chladenie?"
COOL_Q0_A0,"Aby se součástky nepřehřívaly","To keep components from overheating","Aby sa súčiastky neprehrievali"
COOL_Q0_A1,"Aby počítač šetřil elektřinu","To help the computer save electricity","Aby počítač šetril elektrinu"
COOL_Q0_A2,"Aby se zvuk z reproduktorov nezhoršil","To keep the speaker sound from degrading","Aby sa zvuk z reproduktorov nezhoršil"
COOL_Q1,"Co se může stát, když chlazení nefunguje správně?","What can happen if cooling is not working properly?","Čo sa môže stať, keď chladenie nefunguje správne?"
COOL_Q1_A0,"Počítač se může zpomalit nebo sám vypnout","The computer may slow down or shut itself off","Počítač sa môže spomaliť alebo sám vypnúť"
COOL_Q1_A1,"Může dojít ke ztrátě uložených fotografií a osobních souborů","Stored photos and personal files may be lost","Môže dôjsť ku strate uložených fotografií a osobných súborov"
COOL_Q1_A2,"Změní se barvy, jas a kontrast zobrazení na monitoru","Colors, brightness, and contrast on the monitor will change","Zmenia sa farby, jas a kontrast zobrazenia na monitore"
COOL_Q2,"Jaký problém způsobuje prach ve větrácích?","What problem does dust in the fans cause?","Aký problém spôsobuje prach vo vetrákoch?"
COOL_Q2_A0,"Zhoršuje proudění vzduchu a zvyšuje zahřívání","Impairs airflow and increases heating","Zhoršuje prúdenie vzduchu a zvyšuje zahrievanie"
COOL_Q2_A1,"Postupně snižuje kapacitu operační paměti RAM","Gradually reduces RAM capacity","Postupne znižuje kapacitu operačnej pamäte RAM"
COOL_Q2_A2,"Negativně ovlivňuje rychlost připojení k internetu","Negatively affects internet connection speed","Negatívne ovplyvňuje rýchlosť pripojenia k internetu"
COOL_Q3,"Jak poznáš, že chlazení počítače nestačí?","How do you know if computer cooling is insufficient?","Ako spoznáš, že chladenie počítača nestačí?"
COOL_Q3_A0,"Počítač je horký a někdy se vypne","The computer is hot and sometimes shuts down","Počítač je horúci a niekedy sa vypne"
COOL_Q3_A1,"Myš přestane reagovat na pohyb a klikání","The mouse stops responding to movement and clicks","Myš prestane reagovať na pohyb a klikanie"
COOL_Q3_A2,"Počítač se vůbec nezapne po stisknutí tlačítka","The computer won't turn on at all after pressing the button","Počítač sa vôbec nezapne po stlačení tlačidla"
COOL_Q4,"Která činnost dá počítači největší zátěž na chlazení?","Which activity puts the most load on computer cooling?","Ktorá činnosť dá počítaču najväčšiu záťaž na chladenie?"
COOL_Q4_A0,"Hraní moderní videohry","Playing a modern video game","Hranie modernej videohry"
COOL_Q4_A1,"Psaní textu v poznámkovém programu","Writing text in a notepad program","Písanie textu v poznámkovom programe"
COOL_Q4_A2,"Čtení krátkého dokumentu","Reading a short document","Čítanie krátkeho dokumentu"
RAM_Q0,"Co je RAM v počítači?","What is RAM in a computer?","Čo je RAM v počítači?"
RAM_Q0_A0,"Operační (pracovní) paměť, dočasné uložení dat","Operating (working) memory, temporary data storage","Operačná (pracovná) pamäť, dočasné uloženie dát"
RAM_Q0_A1,"Trvalé úložiště souborů","Permanent file storage","Trvalé úložisko súborov"
RAM_Q0_A2,"Řídicí jednotka, která zajišťuje připojení hardwarových zařízení","Control unit that ensures connection of hardware devices","Riadiaca jednotka, ktorá zaisťuje pripojenie hardvérových zariadení"
RAM_Q1,"Co se stane s obsahem RAM po vypnutí počítače?","What happens to RAM content after the computer is turned off?","Čo sa stane s obsahom RAM po vypnutí počítača?"
RAM_Q1_A0,"Data se smažou","Data is deleted","Dáta sa vymažú"
RAM_Q1_A1,"Data tam zůstanou navždy","Data stays there forever","Dáta tam zostanú navždy"
RAM_Q1_A2,"Data se uloží automaticky na internet","Data is automatically saved to the internet","Dáta sa uložia automaticky na internet"
RAM_Q2,"Co platí: čím více RAM má počítač…","What is true: the more RAM a computer has...","Čo platí: čím viac RAM má počítač…"
RAM_Q2_A0,"…tím více programů zvládne najednou rychleji spustit","...the more programs it can run faster at once","…tým viac programov zvládne naraz rýchlejšie spustiť"
RAM_Q2_A1,"…tím menší spotřebu elektřiny bude mít při běžném používání","...the less electricity it will consume during normal use","…tým menšiu spotrebu elektriny bude mať pri bežnom používaní"
RAM_Q2_A2,"…tím větší monitor je nutné k počítači připojit","...the larger the monitor that needs to be connected","…tým väčší monitor je nutné k počítaču pripojiť"
RAM_Q3,"Jaký je rozdíl mezi RAM a pevným diskem?","What is the difference between RAM and a hard drive?","Aký je rozdiel medzi RAM a pevným diskom?"
RAM_Q3_A0,"RAM je dočasná, disk ukládá trvale","RAM is temporary, the disk stores permanently","RAM je dočasná, disk ukladá trvalo"
RAM_Q3_A1,"RAM je menší a pomalejší než disk","RAM is smaller and slower than the disk","RAM je menšia a pomalšia ako disk"
RAM_Q3_A2,"RAM je určena jen pro ukládání filmů","RAM is only intended for storing movies","RAM je určená len na ukladanie filmov"
RAM_Q4,"Co se stane, když má počítač málo RAM?","What happens when a computer has low RAM?","Čo sa stane, keď má počítač málo RAM?"
RAM_Q4_A0,"Programy se zpomalí nebo spadnou","Programs slow down or crash","Programy sa spomalia alebo spadnú"
RAM_Q4_A1,"Počítač nebude možné zapnout","The computer won't turn on","Počítač nebude možné zapnúť"
RAM_Q4_A2,"Monitor se automaticky vypne během práce","The monitor turns off automatically during work","Monitor sa automaticky vypne počas práce"
HDD_Q0,"Co je typické pro HDD?","What is typical for an HDD?","Čo je typické pre HDD?"
HDD_Q0_A0,"Obsahuje pohyblivé mechanické části","Contains moving mechanical parts","Obsahuje pohyblivé mechanické časti"
HDD_Q0_A1,"Je tvořen jen čipy bez pohyblivých částí","Consists only of chips without moving parts","Je tvorený len čipmi bez pohyblivých častí"
HDD_Q0_A2,"Slouží jen pro dočasné uložení dat","Used only for temporary data storage","Slúži len na dočasné uloženie dát"
HDD_Q1,"Co je typické pro SSD?","What is typical for an SSD?","Čo je typické pre SSD?"
HDD_Q1_A0,"Je rychlý a bez pohyblivých částí","It is fast and has no moving parts","Je rýchly a bez pohyblivých častí"
HDD_Q1_A1,"Je pomalý a obsahuje rotující plotny","It is slow and contains rotating platters","Je pomalý a obsahuje rotujúce platne"
HDD_Q1_A2,"Slouží jen pro ukládání hudby","Used only for storing music","Slúži len na ukladanie hudby"
HDD_Q2,"Co se stane s daty na HDD/SSD po vypnutí počítače?","What happens to data on the HDD/SSD after shutdown?","Čo sa stane s údajmi na HDD/SSD po vypnutí počítača?"
HDD_Q2_A0,"Zůstanou uložena","They stay stored","Zostanú uložené"
HDD_Q2_A1,"Okamžitě se smažou","They are immediately deleted","Okamžite sa vymažú"
HDD_Q2_A2,"Uloží se do RAM","Saved to RAM","Uložia sa do RAM"
HDD_Q3,"Co je výhoda SSD oproti HDD?","What is the advantage of SSD over HDD?","Čo je výhoda SSD oproti HDD?"
HDD_Q3_A0,"Je rychlejší a odolnější","It is faster and more durable","Je rýchlejší a odolnejší"
HDD_Q3_A1,"Má vždy větší kapacitu","It always has more capacity","Má vždy väčšiu kapacitu"
HDD_Q3_A2,"Nikdy se nemůže porouchat","It can never break down","Nikdy sa nemôže pokaziť"
HDD_Q4,"Proč se často v moderních počítačích používá SSD místo HDD?","Why is SSD often used instead of HDD in modern computers?","Prečo sa často v moderných počítačoch používa SSD namiesto HDD?"
HDD_Q4_A0,"Protože je rychlejší a zrychluje systém i programy","Because it is faster and speeds up the system and programs","Pretože je rýchlejší a zrýchľuje systém aj programy"
HDD_Q4_A1,"Protože má vždy neomezenou kapacitu pro ukládání dat","Because it always has unlimited storage capacity","Pretože má vždy neobmedzenú kapacitu na ukladanie dát"
HDD_Q4_A2,"Protože spolupracuje pouze s herní grafickou kartou","Because it only works with a gaming graphics card","Pretože spolupracuje iba s hernou grafickou kartou"
